hypothesis,mechanism_family,failure_gate,failure_reason,important_observation,do_not_repeat
H-204,BB Keltner Squeeze Light Trend,Gate A1 (Min Trades/Q) + Gate D2 (Rolling PF),Produced min 4 trades/Q and rolling PF 53.3%,Squeeze duration on M30 is too sparse in quiet quarters,Do not rely on tight squeeze duration filters on M30
H-205,Volatility Ratio Contraction,Specification Ambiguity / Economics,PF 0.962 and ambiguous duration semantics,ATR ratio contraction alone has negative expectancy on Gold M30,Do not trade naive Donchian breakout on ATR ratio contraction
H-206,Range Compression Breakout,Gate E1 (PF < 1.25),PF 1.087 insufficient after spread and commission,High trade frequency (1623 trades) but edge eroded by cost,Do not trade 3-bar range breakout without strong regime filter
H-207,Session-Aware Squeeze,Gate A1 (Min Trades/Q < 5),Session filter combined with squeeze reduced trade count to 2 trades/Q,Double filtering destroys opportunity density,Do not combine narrow session windows with tight multi-bar squeeze
H-208A,Long-Only Squeeze EMA50 Slope,Specification Ambiguity / Gate A1,Min 2 trades/Q and unspecified slope horizon,Directional squeeze suffers severe quiet-period voids,Do not precommit vague indicator slope horizons
H-208B,Short-Only Squeeze EMA50 Slope,Specification Ambiguity / Gate E1,PF 0.889 and min 1 trade/Q,Short-only gold squeeze failed economically,Do not trade short-only breakout without macro trend alignment
H-208C,Asymmetric Squeeze,Specification Ambiguity / Gate D2,Rolling PF 33.3% and ambiguous precommit entry filter,Asymmetric exits cannot fix low edge,Do not precommit unwritten entry filters
H-209-C1,MHTP,Gate E1 (PF < 1.25),Full-sample PF was 0.948 (below 1.25 threshold),"Long PF was 0.996, Short PF was 0.894. Min trades/Q was 106",Do not deploy symmetrical short trades on MHTP without separate filter
H-209-C2,MHTP,Gate E1 (PF < 1.25),Full-sample PF was 0.977 (below 1.25 threshold),"Long PF was 1.034, Short PF was 0.912. Min trades/Q was 91",Do not deploy symmetrical short trades on MHTP without separate filter
H-209-C3,MHTP,Gate E1 (PF < 1.25),Full-sample PF was 1.013 (below 1.25 threshold),"Long PF was 1.094, Short PF was 0.919. Min trades/Q was 71",Do not deploy symmetrical short trades on MHTP without separate filter
H-209-C4,MHTP,Gate E1 (PF < 1.25),Full-sample PF was 0.986 (below 1.25 threshold),"Long PF was 1.088, Short PF was 0.871. Min trades/Q was 64",Do not deploy symmetrical short trades on MHTP without separate filter
H-210-C1,EDMR,Gate E1 (PF < 1.25),Full-sample PF was 0.859 (below 1.25 threshold),"Long PF was 0.938, Short PF was 0.791. Min trades/Q was 131",Do not deploy symmetrical short trades on EDMR without separate filter
H-210-C2,EDMR,Gate E1 (PF < 1.25),Full-sample PF was 0.881 (below 1.25 threshold),"Long PF was 0.945, Short PF was 0.824. Min trades/Q was 121",Do not deploy symmetrical short trades on EDMR without separate filter
H-210-C3,EDMR,Gate E1 (PF < 1.25),Full-sample PF was 0.888 (below 1.25 threshold),"Long PF was 0.980, Short PF was 0.811. Min trades/Q was 90",Do not deploy symmetrical short trades on EDMR without separate filter
H-210-C4,EDMR,Gate E1 (PF < 1.25),Full-sample PF was 0.883 (below 1.25 threshold),"Long PF was 0.960, Short PF was 0.817. Min trades/Q was 88",Do not deploy symmetrical short trades on EDMR without separate filter
H-211-C1,FBRLT,Gate E1 (PF < 1.25),Full-sample PF was 0.858 (below 1.25 threshold),"Long PF was 0.952, Short PF was 0.773. Min trades/Q was 128",Do not deploy symmetrical short trades on FBRLT without separate filter
H-211-C2,FBRLT,Gate E1 (PF < 1.25),Full-sample PF was 0.873 (below 1.25 threshold),"Long PF was 0.975, Short PF was 0.782. Min trades/Q was 109",Do not deploy symmetrical short trades on FBRLT without separate filter
H-211-C3,FBRLT,Gate E1 (PF < 1.25),Full-sample PF was 0.853 (below 1.25 threshold),"Long PF was 0.937, Short PF was 0.778. Min trades/Q was 98",Do not deploy symmetrical short trades on FBRLT without separate filter
H-211-C4,FBRLT,Gate E1 (PF < 1.25),Full-sample PF was 0.873 (below 1.25 threshold),"Long PF was 0.945, Short PF was 0.809. Min trades/Q was 89",Do not deploy symmetrical short trades on FBRLT without separate filter
H-212-C1,SORE,Gate E1 (PF < 1.25),Full-sample PF was 0.963 (below 1.25 threshold),"Long PF was 0.928, Short PF was 0.997. Min trades/Q was 73",Do not deploy symmetrical short trades on SORE without separate filter
H-212-C2,SORE,Gate E1 (PF < 1.25),Full-sample PF was 0.950 (below 1.25 threshold),"Long PF was 0.936, Short PF was 0.965. Min trades/Q was 69",Do not deploy symmetrical short trades on SORE without separate filter
H-212-C3,SORE,Gate E1 (PF < 1.25),Full-sample PF was 0.985 (below 1.25 threshold),"Long PF was 0.971, Short PF was 1.000. Min trades/Q was 69",Do not deploy symmetrical short trades on SORE without separate filter
H-212-C4,SORE,Gate E1 (PF < 1.25),Full-sample PF was 0.991 (below 1.25 threshold),"Long PF was 0.993, Short PF was 0.990. Min trades/Q was 66",Do not deploy symmetrical short trades on SORE without separate filter
H-213-C1,MRLM,Gate E1 (PF < 1.25),Full-sample PF was 1.027 (below 1.25 threshold),"Long PF was 1.091, Short PF was 0.960. Min trades/Q was 136",Do not deploy symmetrical short trades on MRLM without separate filter
H-213-C2,MRLM,Gate E1 (PF < 1.25),Full-sample PF was 1.034 (below 1.25 threshold),"Long PF was 1.148, Short PF was 0.922. Min trades/Q was 107",Do not deploy symmetrical short trades on MRLM without separate filter
